ORF	ProteinID	LocusTag
cds2506	WP_016734007.1	RPHASCH2410_CH01165
cds2507	WP_003573787.1	RPHASCH2410_CH01170
cds2508	WP_003547562.1	RPHASCH2410_CH01175
cds2509	WP_003578670.1	RPHASCH2410_CH01180
cds2510	WP_003573785.1	RPHASCH2410_CH01185
cds2511	WP_003573784.1	RPHASCH2410_CH01190
cds2516	WP_003573772.1	RPHASCH2410_CH01215
cds2517	WP_003547577.1	RPHASCH2410_CH01220
cds2518	WP_003547579.1	RPHASCH2410_CH01225
cds2570	WP_016732818.1	RPHASCH2410_CH01495
cds2571	WP_016732819.1	RPHASCH2410_CH01500
cds2572	WP_016732820.1	RPHASCH2410_CH01505
cds2573	WP_012483534.1	RPHASCH2410_CH01510
cds2591	WP_012483551.1	RPHASCH2410_CH01610
cds2592	WP_012483552.1	RPHASCH2410_CH01615
cds2593	WP_012483553.1	RPHASCH2410_CH01620
cds2599	WP_016732838.1	RPHASCH2410_CH01650
cds2600	WP_016732839.1	RPHASCH2410_CH01655
cds2618	WP_012483575.1	RPHASCH2410_CH01745
cds2630	WP_037113865.1	RPHASCH2410_CH01795
cds2646	WP_016732877.1	RPHASCH2410_CH01875
cds2654	WP_016732886.1	RPHASCH2410_CH01915
cds2655	WP_012483593.1	RPHASCH2410_CH01920
cds2671	WP_004678848.1	RPHASCH2410_CH02000
cds2676	WP_016732903.1	RPHASCH2410_CH02025
cds2677	WP_004678841.1	RPHASCH2410_CH02030
cds2678	WP_004678838.1	RPHASCH2410_CH02035
cds2681	WP_004678834.1	RPHASCH2410_CH02060
cds2705	WP_004671258.1	RPHASCH2410_CH02170
cds2706	WP_016732913.1	RPHASCH2410_CH02175
cds2720	WP_016732925.1	RPHASCH2410_CH02245
cds2755	gbkey=CDS	RPHASCH2410_CH02450
cds2758	WP_008526906.1	RPHASCH2410_CH02465
cds2759	WP_009994369.1	RPHASCH2410_CH02470
cds2778	WP_012483684.1	RPHASCH2410_CH02565
cds2791	WP_016732968.1	RPHASCH2410_RS02555
cds2816	WP_046977061.1	RPHASCH2410_CH02750
cds2818	WP_029531170.1	RPHASCH2410_CH02765
