Geneid	logFC	logCPM	F	PValue	adj.PVal	FDR	Locus	ID
cds4358	0.151508006120529	6.10809504665364	5.64073179850451	0.0366344824016811	0.0490600599747737	0.0490600599747737	RPHASCH2410_CH19095	WP_016733374.1
cds4062	0.131431188377959	7.73837986634523	5.63667958349417	0.0366899364159982	0.0491167496441635	0.0491167496441635	RPHASCH2410_CH17600	WP_004680166.1
cds1548	-0.209901687556002	4.56370654750071	5.60419172670308	0.0371382069875944	0.0496990735625906	0.0496990735625906	RPHASCH2410_PD01795	WP_016735674.1
cds6461	0.124006231974367	11.8537164596918	5.58960810900681	0.0373415798637673	0.0499533714903792	0.0499533714903792	RPHASCH2410_CH11755	WP_016734584.1
cds2326	0.321771913526717	3.00689329809704	5.51136873737493	0.0384558768402168	0.0514256330878641	0.0514256330878641	RPHASCH2410_CH00215	WP_016734119.1
cds4650	-0.144236223157928	5.50380033274353	5.50969161231294	0.0384801986575545	0.0514397798482952	0.0514397798482952	RPHASCH2410_CH03990	WP_016737271.1
cds4537	-0.620213230841146	0.321497197778631	5.50150009471108	0.0385992598939709	0.0515780668429378	0.0515780668429378		end_range=8241,.
cds762	0.335292438959923	3.07169745944509	5.50067988977223	0.0386112057958621	0.0515780668429378	0.0515780668429378		gbkey=CDS
cds2668	0.108156603376123	7.22417515713963	5.47776424568923	0.0389467725779216	0.0519945235209221	0.0519945235209221	RPHASCH2410_CH01985	WP_010025231.1
cds759	-0.206327153534555	4.40977976349019	5.47749430198304	0.0389507464474126	0.0519945235209221	0.0519945235209221	RPHASCH2410_PC00080	WP_010023084.1
cds2165	0.473984882647676	2.04186607854475	5.43578668831964	0.0395706525384897	0.0528031916048367	0.0528031916048367		gbkey=CDS
cds2422	-0.159726178907419	5.33570674408773	5.43290911069734	0.0396138600173157	0.0528420092818291	0.0528420092818291		WP_080956129.1
cds1529	-0.307791285147349	3.17040487888726	5.42839940098123	0.039681688981358	0.0529136308718287	0.0529136308718287	RPHASCH2410_PD01705	WP_029531766.1
cds1127	-0.231069083205705	5.10028520103365	5.41772155394071	0.0398428506815332	0.053109611859323	0.053109611859323	RPHASCH2410_PC01855	WP_046977192.1
cds4747	-0.116388508263079	7.08956186265502	5.40875551275205	0.039978786748096	0.0532718400847715	0.0532718400847715	RPHASCH2410_CH04480	WP_016737340.1
cds3716	-0.116100937489345	6.73884451173321	5.37444579157615	0.040504163659409	0.0539526991377821	0.0539526991377821	RPHASCH2410_CH15810	WP_020465365.1
cds1070	-0.122752854565163	6.45673471586203	5.37185937517277	0.0405441058634724	0.0539866909452072	0.0539866909452072	RPHASCH2410_PC01560	WP_011053353.1
cds6464	0.184585167133799	10.8501355670429	5.36555788823543	0.0406416194987	0.0540972908192156	0.0540972908192156	RPHASCH2410_CH11770	WP_016734583.1
cds5860	0.319528744709305	3.322794526356	5.34286396833669	0.0409951567679447	0.054548479126348	0.054548479126348	RPHASCH2410_CH08640	WP_016735004.1
cds1160	0.136034237254406	5.98926916199712	5.3215775377074	0.0413301497854925	0.0549746804005325	0.0549746804005325	RPHASCH2410_PC02000	WP_008536039.1
cds2287	0.120947622979021	9.1075422454794	5.30086956811898	0.041659218535267	0.0553927015905877	0.0553927015905877	RPHASCH2410_CH00005	WP_039750947.1
cds1273	0.212963350448586	4.11262247620397	5.28900644189148	0.0418491611643593	0.0556255007948142	0.0556255007948142	RPHASCH2410_PD00420	WP_016735438.1
cds967	0.384661776248787	1.71300375622737	5.28625762235983	0.0418933222618743	0.0556644321001759	0.0556644321001759		WP_008534159.1
cds1199	0.212832327277306	5.08600266663663	5.28298541093242	0.0419459653548402	0.0557146019599598	0.0557146019599598	RPHASCH2410_PD00030	WP_016735371.1
cds2913	-0.172882495700886	5.00288357376986	5.26484177589637	0.0422393139161286	0.056084339123118	0.056084339123118	RPHASCH2410_CH03255	WP_016733046.1
cds6480	0.137670207575818	6.56030164315703	5.25382640078264	0.0424186219239445	0.0563024474685547	0.0563024474685547	RPHASCH2410_CH11860	WP_016734571.1
cds1057	0.295662018239181	2.55850294719506	5.23361463213501	0.0427500280678224	0.0567122751892649	0.0567122751892649	RPHASCH2410_PC01500	WP_009996986.1
cds983	0.180947439340006	4.80912512642874	5.23314947729793	0.0427576918472096	0.0567122751892649	0.0567122751892649		gbkey=CDS
cds2184	-0.39774171283703	1.97061076834059	5.18794946762585	0.0435103860185467	0.057690178840744	0.057690178840744	RPHASCH2410_PD04940	WP_016735278.1
cds4467	0.194766272781629	4.21162451239503	5.18691831959295	0.0435277433628103	0.0576927561639515	0.0576927561639515	RPHASCH2410_CH19665	WP_016733451.1
cds2954	0.155614862991885	5.09557552835752	5.18221825725872	0.0436069658150747	0.0577773001932122	0.0577773001932122	RPHASCH2410_CH03465	WP_029531210.1
cds317	-0.408385244958624	3.67896778655269	5.32709237354373	0.0436278710510903	0.0577845440000817	0.0577845440000817	RPHASCH2410_PA01580	WP_016736985.1
cds2303	-0.46005773405532	1.15700890411457	5.1799036585304	0.0436460438937373	0.0577881649431407	0.0577881649431407	RPHASCH2410_CH00090	WP_016734148.1
cds2317	-0.361448873242149	2.23287603443705	5.1702076645541	0.0438102054316886	0.057985006694063	0.057985006694063	RPHASCH2410_CH00170	WP_016734132.1
cds889	-0.117645751938735	6.64870916863799	5.1659277688126	0.0438829053142984	0.0580606979821206	0.0580606979821206	RPHASCH2410_PC00725	WP_039752489.1
cds4568	0.210640575448033	4.12279746411766	5.15575840765112	0.0440562320189487	0.0582694263063339	0.0582694263063339		gbkey=CDS
cds1724	0.248144722120832	3.79789757877817	5.14829471489848	0.0441839704570486	0.0583973557012455	0.0583973557012455	RPHASCH2410_PD02670	WP_016735835.1
cds6494	-0.234075717105697	3.92269008485029	5.14828365214321	0.0441841601244797	0.0583973557012455	0.0583973557012455	RPHASCH2410_CH11940	WP_016734561.1
cds1631	-0.397073002623799	2.18421328264487	5.14407546692785	0.0442563796366348	0.0584721598940784	0.0584721598940784	RPHASCH2410_PD02200	WP_016735748.1
cds6457	0.148891767820899	5.53137040561875	5.13984558777626	0.0443291154315985	0.0585475931758903	0.0585475931758903	RPHASCH2410_CH11735	WP_010016042.1
cds2673	0.224143951617095	3.62563359778436	5.13672678318511	0.0443828381584309	0.0585978706268102	0.0585978706268102	RPHASCH2410_CH02010	WP_016732900.1
cds445	0.131575941961298	5.93091029617419	5.13187823845533	0.0444665129115208	0.0586876438038866	0.0586876438038866	RPHASCH2410_PB00465	WP_016736726.1
cds4539	0.137101403811478	5.59373896969385	5.08268580934814	0.0453263484479914	0.0598013825311357	0.0598013825311357	RPHASCH2410_CH20020	WP_029531295.1
