Geneid	logFC	logCPM	F	PValue	adj.PVal	FDR	Locus	ID
cds2205	1.98595488662176	4.85952367466293	667.745247521394	2.87007734047241e-11	3.99356858192871e-10	3.99356858192871e-10	RPHASCH2410_PD05045	WP_016735301.1
cds4680	-1.28860958591465	8.32388428289779	663.149773745533	2.98048173490961e-11	4.13183079028396e-10	4.13183079028396e-10	RPHASCH2410_CH04140	WP_016737297.1
cds2127	-1.92368370910743	11.0551435438877	661.935634470912	3.01048313026203e-11	4.15802153378996e-10	4.15802153378996e-10		WP_046977246.1
cds1733	1.2577626020506	7.350595361941	661.106572789784	3.03117410465665e-11	4.17120760063598e-10	4.17120760063598e-10	RPHASCH2410_PD02715	WP_016735844.1
cds2267	1.23403612181187	8.30019786484216	659.228349286393	3.07867314631089e-11	4.22105259583943e-10	4.22105259583943e-10	RPHASCH2410_PD05350	WP_016735352.1
cds1045	1.44453615464037	9.53098380941067	658.066987787165	3.1084827764736e-11	4.24636898990536e-10	4.24636898990536e-10	RPHASCH2410_PC01440	WP_011053340.1
cds4344	-1.80049372274022	11.580017383949	655.364738739472	3.17917210106733e-11	4.32714224519819e-10	4.32714224519819e-10	RPHASCH2410_CH19025	WP_016733577.1
cds3770	1.3140700351297	7.15253906558219	654.13385655437	3.21199925110693e-11	4.35598304235262e-10	4.35598304235262e-10	RPHASCH2410_CH16080	WP_004675679.1
cds1689	-1.81155010927645	5.99090678587391	650.540010776997	3.31015989417205e-11	4.4709597389793e-10	4.4709597389793e-10	RPHASCH2410_PD02495	WP_004678167.1
cds2121	-1.20669186439962	8.28477669226251	650.162681313707	3.32067007062849e-11	4.4709597389793e-10	4.4709597389793e-10		WP_080956212.1
cds4547	-1.56881594255056	7.1824441695109	647.05687166158	3.40869243689263e-11	4.5652886226408e-10	4.5652886226408e-10	RPHASCH2410_CH20060	WP_010024507.1
cds4853	1.16679118818045	8.5395225348496	646.833666281463	3.41512373587877e-11	4.5652886226408e-10	4.5652886226408e-10	RPHASCH2410_CH05050	WP_016736453.1
cds4613	-1.70008239547628	9.05163232217012	645.699891807544	3.44801356408805e-11	4.59285223145252e-10	4.59285223145252e-10	RPHASCH2410_CH03810	WP_004677837.1
cds6403	-1.68941807981489	8.02857399089055	644.676114050527	3.47803408523569e-11	4.61641190816921e-10	4.61641190816921e-10	RPHASCH2410_CH11465	WP_004680407.1
cds2901	-1.48093792231274	8.58827625359857	642.954047689208	3.52922952056535e-11	4.66781134115763e-10	4.66781134115763e-10	RPHASCH2410_CH03185	WP_029531192.1
