Geneid	Locus	ID	logFC
cds2919	RPHASCH2410_CH03285	WP_016733051.1	-1.80804362372156
cds1334	RPHASCH2410_PD00715	WP_029531736.1	-2.01543177793164
cds4752	RPHASCH2410_CH04505	WP_046977075.1	-1.00681235851048
cds533	RPHASCH2410_PB00900	WP_004678501.1	-1.0161904801292
cds226	RPHASCH2410_PA01125	WP_011427742.1	-1.02950067760288
cds1478		gbkey=CDS	-1.04222867593611
cds1832	RPHASCH2410_PD03205	WP_029531801.1	-2.36210946833834
cds1518		WP_029531761.1	-1.1043761026449
cds1535	RPHASCH2410_PD01730	WP_004673166.1	-2.31176757916933
cds1598	RPHASCH2410_PD02040	WP_016735720.1	-1.46183361147699
cds1049	RPHASCH2410_PC01460	WP_008534334.1	-1.013533130073
cds1247	RPHASCH2410_PD00290	WP_016735416.1	-1.84076543414408
cds1745	RPHASCH2410_PD02775	WP_004677388.1	-1.14319498321009
cds1994		WP_080956202.1	-1.10807278414347
cds296	RPHASCH2410_PA01475	WP_016737006.1	-1.04195715651667
cds630	RPHASCH2410_PB01375	WP_016736560.1	-1.10819777495342
cds1595	RPHASCH2410_PD02025	WP_016735717.1	-1.16895037263746
cds4529	RPHASCH2410_CH19970	WP_016733501.1	-1.26636226808677
cds4503	RPHASCH2410_CH19840	WP_004675543.1	-1.08740395510862
cds482	RPHASCH2410_PB00645	WP_016736754.1	-1.03929992559777
cds1522		WP_029531763.1	-1.36574045025732
cds2836	RPHASCH2410_CH02855	WP_004671074.1	-1.01331951843773
cds719	RPHASCH2410_PB01815	WP_016736639.1	-1.74764408447196
cds4559	RPHASCH2410_CH20125	WP_016733345.1	-1.1383587731744
cds1542	RPHASCH2410_PD01765	WP_012489853.1	-1.73086760945084
cds1833	RPHASCH2410_PD03210	WP_016735929.1	-1.23279658569382
cds4445	RPHASCH2410_CH19550	WP_009999666.1	-1.78093833603338
cds1149		gbkey=CDS	-1.38510543345476
cds2083		gbkey=CDS	-1.64281499718989
cds1236	RPHASCH2410_PD00235	WP_016735404.1	-1.16710155195828
cds1257	RPHASCH2410_PD00340	WP_016735425.1	-1.13777544638441
cds1496	RPHASCH2410_PD01540	WP_016735631.1	-1.01202878058497
cds859	RPHASCH2410_PC00565	WP_011053475.1	-1.09317039468666
cds1523	RPHASCH2410_PD01670	WP_029531764.1	-1.50440104226107
cds1335	RPHASCH2410_PD00720	WP_010023844.1	-1.44670184559465
cds773	RPHASCH2410_PC00145	WP_004678528.1	-1.11967786696576
cds534	RPHASCH2410_PB00905	WP_004678499.1	-1.39238762289285
cds1959	RPHASCH2410_PD03830	WP_016736037.1	-1.07181217329087
cds1174	RPHASCH2410_PC02080	WP_004678816.1	-1.14897570243801
cds1228	RPHASCH2410_PD00195	WP_016735396.1	-1.53434753229154
cds1449	RPHASCH2410_PD01295	WP_016735590.1	-1.50924086487132
cds2928	RPHASCH2410_CH03335	WP_016733061.1	-1.40423866346697
cds916		WP_016737359.1	-1.81090309418902
cds1547	RPHASCH2410_PD01790	WP_016735673.1	-1.06382326491
cds852		WP_004674400.1	-1.36182105096393
cds1082	RPHASCH2410_PC01620	WP_009987854.1	-1.09130899991305
cds145	RPHASCH2410_PA00740	WP_029532034.1	-1.00573004148396
cds4444		gbkey=CDS	-1.83945698699061
cds1158	RPHASCH2410_PC01990	WP_004680430.1	-1.33111370955644
cds2126		gbkey=CDS	-1.30192545084641
cds4374		WP_080956169.1	-1.36864870465416
cds4376	RPHASCH2410_CH19190	WP_016733385.1	-1.10169861126686
cds2367	RPHASCH2410_CH00420	WP_016734079.1	-1.12984902580781
cds1191		end_range=1738,.	-1.29156906675706
cds1181		end_range=422244,.	-1.2778560617901
cds895		gbkey=CDS	-1.00875502602899
cds5	RPHASCH2410_PA00030	WP_029532086.1	-1.17519487175793
cds1991		WP_080956201.1	-1.27626016048087
cds2023	RPHASCH2410_PD04160	WP_016736089.1	-1.47532930145714
cds761		WP_080956177.1	-1.27362707653013
cds1460	RPHASCH2410_PD01350	WP_016735599.1	-1.35760917847834
cds1229	RPHASCH2410_PD00200	WP_016735397.1	-1.06378759280139
cds2114	RPHASCH2410_PD04600	WP_016736164.1	-1.01193432980745
cds2728		WP_016732931.1	-1.18642464834516
cds1446		WP_046977239.1	-1.06076772582878
cds1997	RPHASCH2410_PD04020	WP_046977223.1	-1.10140590069928
cds1847	RPHASCH2410_PD03280	WP_016735943.1	-1.13063256050116
